ID,Path,Group,Mode,DefaultVolume,Loop
GoalObj_Sound,..\\Assets\\Audio\\Object\\GoalObj_Sound.mp3,SFX,2D,1,0
Ghost_Move_Sound,..\\Assets\\Audio\\Enemy\\Ghost_Move_Sound.wav,SFX,3D,1,0
Ghost_Frozen_Sound,..\\Assets\\Audio\\Enemy\\Ghost_Frozen_Sound.mp3,SFX,2D,1,0
Ghost_Playerfind_Sound,..\\Assets\\Audio\\Enemy\\Ghost_Playerfind_Sound.wav,SFX,3D,1,0
Ghost_Chase_BG,..\\Assets\\Audio\\Enemy\\Ghost_Chase_BG.mp3,BGM,2D,1,1
Ghost_Attack_Sound,..\\Assets\\Audio\\Enemy\\Ghost_Attack_Sound.mp3,SFX,2D,1,0
Ghost_AttackDelay_Sound,..\\Assets\\Audio\\Enemy\\Ghost_AttackDelay_Sound.wav,SFX,3D,1,0
BabyGhost_Move_Sound,..\\Assets\\Audio\\Enemy\\BabyGhost_Move_Sound.wav,SFX,3D,1,0
BabyGhost_Playerfind_Sound,..\\Assets\\Audio\\Enemy\\BabyGhost_Playerfind_Sound.wav,SFX,3D,1,0
BabyGhost_Crying_Sound,..\\Assets\\Audio\\Enemy\\BabyGhost_Crying_Sound.wav,SFX,3D,1,0
Altar_BG,..\\Assets\\Audio\\Altar\\Altar_BG.mp3,BGM,2D,1,1
Altar_Fire_Sound,..\\Assets\\Audio\\Altar\\Altar_Fire_Sound.mp3,SFX,2D,1,0
Altar_Mapchange_Sound,..\\Assets\\Audio\\Altar\\Altar_Mapchange_Sound.mp3,SFX,2D,1,0
Minigmae_Interaction_Sound,..\\Assets\\Audio\\MiniGame\\Minigmae_Interaction_Sound.mp3,SFX,2D,1,0
Minigmae_BG,..\\Assets\\Audio\\MiniGame\\Minigmae_BG.mp3,BGM,2D,1,1
Minigmae_Clear_Sound,..\\Assets\\Audio\\MiniGame\\Minigmae_Clear_Sound.mp3,SFX,2D,1,0
Minigmae_Success_Sound,..\\Assets\\Audio\\MiniGame\\Minigmae_Success_Sound.mp3,SFX,2D,1,0
Minigmae_Fail_Sound,..\\Assets\\Audio\\MiniGame\\Minigmae_Fail_Sound.mp3,SFX,2D,1,0
Minigmae_Wrong_Sound,..\\Assets\\Audio\\MiniGame\\Minigmae_Wrong_Sound.mp3,SFX,2D,1,0
Game_Win_BG,..\\Assets\\Audio\\Endding\\Game_Win_BG.mp3,BGM,2D,1,1
Game_Lose_BG,..\\Assets\\Audio\\Endding\\Game_Lose_BG.mp3,BGM,2D,1,1
Player_Walk_Sound_Left,..\\Assets\\Audio\\Player\\Player_Walk_Sound_Left.mp3,SFX,3D,1,0
Player_Walk_Sound_Right,..\\Assets\\Audio\\Player\\Player_Walk_Sound_Right.mp3,SFX,3D,1,0
